date,city,lat,long,pop,shop,brand,container,capacity,price,quantity
31/01/12,Athens,37.97945,23.71622,672130.0,shop_1,kinder-cola,glass,500ml,0.96,13280.0
31/01/12,Athens,37.97945,23.71622,672130.0,shop_1,kinder-cola,plastic,1.5lt,2.86,6727.0
31/01/12,Athens,37.97945,23.71622,672130.0,shop_1,kinder-cola,can,330ml,0.87,9848.0
31/01/12,Athens,37.97945,23.71622,672130.0,shop_1,adult-cola,glass,500ml,1.0,20050.0
31/01/12,Athens,37.97945,23.71622,672130.0,shop_1,adult-cola,can,330ml,,25696.0
31/01/12,Athens,37.97945,23.71622,672130.0,shop_1,orange-power,glass,500ml,1.0,15041.0
31/01/12,Athens,37.97945,23.71622,672130.0,shop_1,orange-power,can,330ml,0.43,34578.0
31/01/12,Athens,37.97945,23.71622,672130.0,shop_1,gazoza,glass,500ml,0.49,44734.0
31/01/12,Athens,37.97945,23.71622,672130.0,shop_1,lemon-boost,glass,500ml,0.7,18623.0
31/01/12,Athens,37.97945,23.71622,672130.0,shop_1,lemon-boost,plastic,1.5lt,2.21,9645.0
31/01/12,Athens,37.97945,23.71622,672130.0,shop_1,lemon-boost,can,330ml,0.52,19818.0
31/01/12,Irakleion,35.327870000000004,25.14341,134219.0,shop_2,kinder-cola,glass,500ml,1.51,8943.0
31/01/12,Irakleion,35.327870000000004,25.14341,134219.0,shop_2,kinder-cola,plastic,1.5lt,1.62,15073.0
31/01/12,Irakleion,35.327870000000004,25.14341,134219.0,shop_2,kinder-cola,can,330ml,0.91,11174.0
31/01/12,Irakleion,35.327870000000004,25.14341,134219.0,shop_2,adult-cola,glass,500ml,1.0,21063.0
31/01/12,Irakleion,35.327870000000004,25.14341,134219.0,shop_2,orange-power,glass,500ml,0.88,21720.0
31/01/12,Irakleion,35.327870000000004,25.14341,134219.0,shop_2,orange-power,,330ml,0.23,54780.0
31/01/12,Irakleion,35.327870000000004,25.14341,134219.0,shop_2,gazoza,glass,500ml,0.58,41378.0
31/01/12,Irakleion,35.327870000000004,25.14341,134219.0,shop_2,gazoza,plastic,1.5lt,1.0,30757.0
31/01/12,Irakleion,35.327870000000004,25.14341,134219.0,shop_2,gazoza,can,330ml,0.26,49688.0
31/01/12,Irakleion,35.327870000000004,25.14341,134219.0,shop_2,lemon-boost,glass,500ml,0.89,18582.0
31/01/12,Irakleion,35.327870000000004,25.14341,134219.0,shop_2,lemon-boost,plastic,1.5lt,2.25,10348.0
31/01/12,Irakleion,35.327870000000004,25.14341,134219.0,shop_2,lemon-boost,can,330ml,0.41,29015.0
31/01/12,Patra,38.244440000000004,21.73444,164250.0,shop_6,kinder-cola,glass,500ml,1.11,17474.0
31/01/12,Patra,38.244440000000004,21.73444,164250.0,shop_6,kinder-cola,plastic,1.5lt,3.84,8361.0
31/01/12,Patra,38.244440000000004,21.73444,164250.0,shop_6,kinder-cola,can,330ml,0.57,26782.0
31/01/12,Patra,38.244440000000004,21.73444,164250.0,shop_6,,glass,500ml,1.17,19841.0
31/01/12,Patra,38.244440000000004,21.73444,164250.0,shop_6,adult-cola,plastic,1.5lt,2.77,14917.0
31/01/12,Patra,38.244440000000004,21.73444,164250.0,shop_6,adult-cola,can,330ml,0.65,26581.0
31/01/12,Patra,38.244440000000004,21.73444,164250.0,shop_6,orange-power,plastic,1.5lt,1.65,30586.0
31/01/12,Patra,38.244440000000004,21.73444,164250.0,shop_6,,can,330ml,0.33,66314.0
31/01/12,Patra,38.244440000000004,21.73444,164250.0,shop_6,gazoza,glass,500ml,0.57,56428.0
31/01/12,Patra,38.244440000000004,21.73444,164250.0,shop_6,gazoza,plastic,1.5lt,0.73,47386.0
31/01/12,Patra,38.244440000000004,21.73444,164250.0,shop_6,gazoza,can,330ml,0.21,77667.0
31/01/12,Patra,38.244440000000004,21.73444,164250.0,shop_6,lemon-boost,plastic,1.5lt,2.05,16090.0
31/01/12,Patra,38.244440000000004,21.73444,164250.0,shop_6,lemon-boost,can,330ml,0.68,17127.0
31/01/12,Thessaloniki,40.643609999999995,22.93086,346502.0,shop_4,kinder-cola,plastic,1.5lt,2.8,11306.0
31/01/12,Thessaloniki,40.643609999999995,22.93086,346502.0,shop_4,kinder-cola,can,330ml,0.79,16018.0
31/01/12,Thessaloniki,40.643609999999995,22.93086,346502.0,shop_4,adult-cola,plastic,1.5lt,2.99,12674.0
31/01/12,Thessaloniki,40.643609999999995,22.93086,346502.0,shop_4,adult-cola,can,330ml,0.49,30194.0
31/01/12,Thessaloniki,40.643609999999995,22.93086,346502.0,shop_4,orange-power,glass,500ml,0.96,23346.0
31/01/12,Thessaloniki,40.643609999999995,22.93086,346502.0,shop_4,orange-power,plastic,1.5lt,2.15,12835.0
31/01/12,Thessaloniki,40.643609999999995,22.93086,346502.0,shop_4,orange-power,can,330ml,0.41,40722.0
31/01/12,Thessaloniki,40.643609999999995,22.93086,346502.0,shop_4,gazoza,can,330ml,0.28,48918.0
31/01/12,Thessaloniki,40.643609999999995,22.93086,346502.0,shop_4,lemon-boost,glass,500ml,0.82,27727.0
31/01/12,Thessaloniki,40.643609999999995,22.93086,346502.0,shop_4,lemon-boost,plastic,1.5lt,1.56,16352.0
31/01/12,Athens,37.96245,23.687079999999998,672130.0,shop_3,kinder-cola,plastic,1.5lt,,5630.0
31/01/12,Athens,37.96245,23.687079999999998,672130.0,shop_3,kinder-cola,can,330ml,0.9,5891.0
31/01/12,Athens,37.96245,23.687079999999998,672130.0,shop_3,adult-cola,glass,500ml,1.13,12339.0
31/01/12,Athens,37.96245,23.687079999999998,672130.0,shop_3,adult-cola,plastic,1.5lt,2.46,9720.0
31/01/12,Athens,37.96245,23.687079999999998,672130.0,shop_3,adult-cola,can,330ml,0.71,12035.0
31/01/12,Athens,37.96245,23.687079999999998,672130.0,shop_3,orange-power,glass,500ml,0.83,17298.0
31/01/12,Athens,37.96245,23.687079999999998,672130.0,shop_3,orange-power,plastic,1.5lt,1.83,10483.0
31/01/12,Athens,37.96245,23.687079999999998,672130.0,shop_3,orange-power,can,330ml,0.53,16545.0
31/01/12,Athens,37.96245,23.687079999999998,672130.0,shop_3,gazoza,glass,500ml,0.38,35931.0
31/01/12,Athens,37.96245,23.687079999999998,672130.0,shop_3,gazoza,plastic,1.5lt,1.16,14480.0
31/01/12,Athens,37.96245,23.687079999999998,672130.0,shop_3,lemon-boost,can,330ml,0.33,21997.0
31/01/12,Larisa,39.63689,22.41761,137540.0,shop_5,kinder-cola,glass,500ml,1.38,7495.0
31/01/12,Larisa,39.63689,22.41761,137540.0,shop_5,adult-cola,glass,500ml,1.06,14887.0
31/01/12,Larisa,39.63689,22.41761,137540.0,shop_5,adult-cola,plastic,1.5lt,2.83,9126.0
31/01/12,Larisa,39.63689,22.41761,137540.0,shop_5,adult-cola,can,330ml,0.59,17878.0
31/01/12,Larisa,39.63689,22.41761,137540.0,shop_5,orange-power,glass,500ml,0.66,24301.0
31/01/12,Larisa,39.63689,22.41761,137540.0,shop_5,orange-power,plastic,1.5lt,1.57,16161.0
31/01/12,Larisa,39.63689,,137540.0,shop_5,orange-power,can,330ml,0.34,39554.0
31/01/12,Larisa,39.63689,22.41761,137540.0,shop_5,gazoza,glass,500ml,0.59,27498.0
31/01/12,Larisa,39.63689,22.41761,137540.0,shop_5,gazoza,plastic,1.5lt,0.84,26495.0
31/01/12,Larisa,39.63689,22.41761,137540.0,shop_5,gazoza,can,330ml,0.27,41445.0
31/01/12,Larisa,39.63689,22.41761,137540.0,shop_5,lemon-boost,glass,500ml,0.91,13940.0
31/01/12,Larisa,39.63689,22.41761,137540.0,shop_5,lemon-boost,can,330ml,0.55,16123.0
31/01/12,Athens,37.96245,23.687079999999998,672130.0,shop_3,lemon-boost,plastic,1.5lt,1.99,8868.0
31/01/12,Athens,37.96245,23.687079999999998,672130.0,shop_3,gazoza,can,330ml,0.33,19886.0
31/01/12,Larisa,39.63689,22.41761,137540.0,shop_5,kinder-cola,can,330ml,0.46,19572.0
31/01/12,Larisa,39.63689,22.41761,137540.0,shop_5,lemon-boost,plastic,1.5lt,1.73,12100.0
31/01/12,Athens,37.96245,23.687079999999998,672130.0,shop_3,kinder-cola,glass,500ml,1.57,5089.0
31/01/12,Thessaloniki,40.643609999999995,22.93086,346502.0,shop_4,adult-cola,glass,500ml,1.05,20401.0
31/01/12,Athens,37.97945,23.71622,672130.0,shop_1,gazoza,can,330ml,0.4,16367.0
31/01/12,Irakleion,35.327870000000004,25.14341,134219.0,shop_2,orange-power,plastic,1.5lt,1.27,25347.0
31/01/12,Irakleion,35.327870000000004,25.14341,134219.0,shop_2,adult-cola,plastic,1.5lt,2.61,15126.0
31/01/12,Patra,38.244440000000004,21.73444,164250.0,shop_6,lemon-boost,glass,500ml,0.86,26717.0
31/01/12,Thessaloniki,40.643609999999995,22.93086,346502.0,shop_4,gazoza,plastic,1.5lt,0.71,42833.0
31/01/12,Thessaloniki,40.643609999999995,22.93086,346502.0,shop_4,kinder-cola,glass,500ml,1.39,11406.0
